username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
ivanpetrov32,ZTfwOKINsLWQ3SBr1cbl,200K,2,200000,12,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fivanpetrov32_m2-200k_1770046111508.png?alt=media&token=8a2f84e9-8496-43dd-a830-efb27d1c60bc,2026-02-02T15:28:30.225Z
snoopys030,RwQ968WYwC3cL498k7Ak,200k,1,200000,6,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsnoopys030_spent-200k_1770080587976.png?alt=media&token=33dd2159-71b0-45d8-9f29-3214319d56a8,2026-02-03T01:03:06.414Z
alfims,WfyCvvErz88G2B8SZ3k6,300K,3,300000,5,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falfims_m3-300k_1770190044057.png?alt=media&token=667a31ea-e4b8-4369-be7d-eb70e0341e19,2026-02-04T07:27:22.111Z
thanossoul,bzJIjI8AhDNlBFjwchLv,200K,2,200000,13,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fthanossoul_m2-200k_1770245427823.png?alt=media&token=e6de86af-1aa1-4cb3-afd1-59aa409a13ee,2026-02-04T22:50:26.935Z
thanossoul,dSykRM0ifH6l3maaL5dL,200k,1,200000,7,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fthanossoul_spent-200k_1770245517759.png?alt=media&token=18e2bc61-c9cc-49f2-b9de-1d1d25dde772,2026-02-04T22:51:56.387Z
slay_da_b,5TErxzE85MSGPlyGMYO4,300K,3,300000,6,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fslay_da_b_m3-300k_1770287132576.png?alt=media&token=d2305ae2-5f77-4b25-846a-56adc2b9bb34,2026-02-05T10:25:31.589Z
ivanpetrov32,wAJQlkMTsnJkzmUT2lLt,200k,1,200000,8,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fivanpetrov32_spent-200k_1770324674474.png?alt=media&token=9d8a112e-290d-4c32-b736-86c4e454ec33,2026-02-05T20:51:12.969Z
wolfmaron999,lhDUwKI5iPEonWsC2pvV,400K,4,400000,3,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fwolfmaron999_m4-400k_1770371857992.png?alt=media&token=ac2827a4-9ce9-4816-8ed8-ade2b55f1851,2026-02-06T09:57:36.649Z
dahhel,ksCVFksA2y1YyLhYdDTR,200K,2,200000,14,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fdahhel_m2-200k_1770431497623.png?alt=media&token=644a48ab-5681-4e15-90ae-8a7fa72088e8,2026-02-07T02:31:36.674Z
snoopys030,sE1o4D4Awz30Ujp79cji,400K,4,400000,4,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsnoopys030_m4-400k_1770441969482.png?alt=media&token=bb91ba9e-4596-4ff8-9cd2-00e8c2908f28,2026-02-07T05:26:08.185Z
