username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
skillfielder,54DhYbbTze2V1CAueX72,100K,1,100000,7,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fskillfielder_m1-100k_1767293166939.png?alt=media&token=8171deb4-9a5d-4484-8814-fa1c45857124,2026-01-01T18:46:05.821Z
avin_novor,QSpsIeLhYX0KxT5rk0os,200K,2,200000,2,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Favin_novor_m2-200k_1767310050892.png?alt=media&token=90c2d5da-094b-447c-ac05-ae73736e049c,2026-01-01T23:27:29.285Z
calypso_ba,iP7X5oqSLTSralGzvVcX,100K,1,100000,8,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fcalypso_ba_m1-100k_1767542534902.png?alt=media&token=9c205bc7-d1d2-4fda-9d6a-f962263efdd7,2026-01-04T16:02:13.660Z
wolfmaron999,QvFPKnDga9FJRin8b9AM,100K,1,100000,9,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fwolfmaron999_m1-100k_1767621105874.png?alt=media&token=cb03341d-24d0-4302-aff8-bf23b8a07732,2026-01-05T13:51:44.637Z
cerebralx1,W26qX2y8R5HViuzsGsks,100K,1,100000,10,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fcerebralx1_m1-100k_1767809969739.png?alt=media&token=4210417e-2b0f-45a6-8f31-5b14907c3cff,2026-01-07T18:19:28.718Z
slay_da_b,UCzxAIUOIuGatOYXaLcC,100K,1,100000,11,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fslay_da_b_m1-100k_1767851149132.png?alt=media&token=241e2ea7-8b51-48c5-98b3-2bdc24cb6b81,2026-01-08T05:45:48.173Z
avin_novor,57zN4mqbxIn2kWPVSHta,300K,3,300000,2,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Favin_novor_m3-300k_1768022152571.png?alt=media&token=54fcfaaf-9c0d-4d84-b2d0-4de953bb7650,2026-01-10T05:15:51.131Z
madagascaradam,cb1UfTnATIP9WQWANhHJ,400k,2,400000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_spent-400k_1768065664559.png?alt=media&token=522fd921-fbca-4249-b2fe-b5d3833e63a3,2026-01-10T17:21:02.723Z
valase,90vTJyVBdXdtDtu5k1cc,100K,1,100000,12,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fvalase_m1-100k_1768072569872.png?alt=media&token=22b475d9-2c54-40ad-a4c9-e89720adfaf0,2026-01-10T19:16:08.457Z
johnic1983,rqu4aQ4D39A4UODS6DbV,100K,1,100000,13,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjohnic1983_m1-100k_1768087923055.png?alt=media&token=b0e2e5f8-86b0-4059-800e-c36a11d40e45,2026-01-10T23:32:01.929Z
snoopys030,OsOjsdsisr1GuJu9TKM4,200K,2,200000,3,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsnoopys030_m2-200k_1768100360345.png?alt=media&token=1ac823c5-2958-4162-b492-c2da30e5dd16,2026-01-11T02:59:18.989Z
madagascaradam,Rh5Sv2cQ0BLlJuQvVPYx,750K,6,750000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_m6-750k_1768159996417.png?alt=media&token=1f9fc537-4366-4c91-8288-dbcbb3ee3e80,2026-01-11T19:33:14.956Z
avin_novor,URydtL8nmR3zLmNdya3p,200k,1,200000,2,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Favin_novor_spent-200k_1768237376705.png?alt=media&token=ada31228-b6ff-40b8-8cdf-10fe7fb734b9,2026-01-12T17:02:54.811Z
johnnymnemonics,7tB09U8nAhDnnh2gaGYT,100K,1,100000,14,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjohnnymnemonics_m1-100k_1768318319847.png?alt=media&token=aa765761-e0b9-4a5f-8f32-beaf584413b3,2026-01-13T15:31:58.605Z
wolfmaron999,r3PXXqgfDup71TLE22rU,200K,2,200000,4,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fwolfmaron999_m2-200k_1768706129380.png?alt=media&token=18ae572e-f405-4c32-b4ad-547782b31219,2026-01-18T03:15:27.978Z
calypso_ba,cksaQMs41TEntargyNu1,200K,2,200000,5,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fcalypso_ba_m2-200k_1768835533221.png?alt=media&token=ee6756b7-c605-4933-83c1-c5a19e33261f,2026-01-19T15:12:11.598Z
alfims,tw32ZEUEHZ7vRP7HfNsr,100K,1,100000,15,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falfims_m1-100k_1768882919203.png?alt=media&token=50657d71-45cb-4a65-b490-22a3a598c6e5,2026-01-20T04:21:57.900Z
thanossoul,1OgVz4PQ7LsRHYzcq3Hz,100K,1,100000,16,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fthanossoul_m1-100k_1768932221620.png?alt=media&token=b7889491-c644-49d7-853c-c00d38dd3476,2026-01-20T18:03:40.838Z
slay_da_b,GElW99FDA8IntkMmmaEj,200K,2,200000,6,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fslay_da_b_m2-200k_1769057012745.png?alt=media&token=4ff504db-8161-4443-a5a4-4788fe154158,2026-01-22T04:43:31.679Z
alphonsoe,cWHJdajlWxm1QM2BjMfv,200K,2,200000,7,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falphonsoe_m2-200k_1769079918797.png?alt=media&token=a1ae0eb1-7b8c-45b6-bff2-410603bec684,2026-01-22T11:05:17.378Z
smogracing,3QIF02UtD4Ty8SFscLP2,100K,1,100000,17,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsmogracing_m1-100k_1769116317393.png?alt=media&token=df61ef03-edc8-443b-ae11-620a0e1bdaec,2026-01-22T21:11:56.548Z
snoopys030,OPIX8TrfXj591zejpPKs,300K,3,300000,3,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsnoopys030_m3-300k_1769128160618.png?alt=media&token=18fc8262-8267-4d0d-adc4-dfca456d5578,2026-01-23T00:29:19.309Z
ivanpetrov32,mf73odyq8sGNWFfGyznV,100K,1,100000,18,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fivanpetrov32_m1-100k_1769164068354.png?alt=media&token=69c8a1c9-ce1b-417e-bfb1-6c1f3eb6947e,2026-01-23T10:27:47.386Z
kurotaku1337,jsGmuAaUl2oJ7oc4fekP,200K,2,200000,8,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fkurotaku1337_m2-200k_1769207237364.png?alt=media&token=8b7ce28b-73ae-4679-a13a-fc01d19444df,2026-01-23T22:27:16.013Z
johnnymnemonics,WGvwZ6O4sU6MgRkZYsi7,200K,2,200000,9,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjohnnymnemonics_m2-200k_1769232960351.png?alt=media&token=c358415b-a17e-4933-8d23-828cee88cb1e,2026-01-24T05:35:59.366Z
