username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
madagascaradam,JEn387K0LzOMsIlNXR8V,200K,2,200000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_m2-200k_1765070519338.svg?alt=media&token=76ea40c0-c316-4136-997a-8caefae51151,2025-12-07T01:21:58.381Z
kurotaku1337,D0AFBLpehfLLvTgWZCVm,100K,1,100000,2,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fkurotaku1337_m1-100k_1765588826041.png?alt=media&token=4634c0a3-aa97-4aab-8d30-0f04e018ab0b,2025-12-13T01:20:25.033Z
madagascaradam,9aM16zwVz561mc5M7lXO,300K,3,300000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_m3-300k_1765948515107.png?alt=media&token=0474b059-347b-40f7-868e-75cee0e105ea,2025-12-16T05:06:54.169Z
madagascaradam,qkLeKCuXZ3WjtPT7cJOu,200k,1,200000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_spent-200k_1766250273035.png?alt=media&token=80a1cbcc-e0ca-4014-be87-2582a599a884,2025-12-20T17:04:31.220Z
zoskycube,REvsbzvJwr3JFNq5ntjn,100K,1,100000,3,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fzoskycube_m1-100k_1766514158078.png?alt=media&token=0ac41d23-683b-42ed-b9f1-6b5323696cbc,2025-12-23T18:22:36.456Z
madagascaradam,5Cz7avfL6WUj7TgWWw0h,400K,4,400000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_m4-400k_1766721128149.png?alt=media&token=667b7def-6f1b-422c-bb8c-8a67a63ae830,2025-12-26T03:52:06.670Z
alphonsoe,WAFPIxP21lWW8Pv6WSw0,100K,1,100000,4,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falphonsoe_m1-100k_1766834435857.png?alt=media&token=dea98601-d5ff-446e-b822-8c2334c87e2b,2025-12-27T11:20:34.620Z
avin_novor,u840qS4cinbhH7o0NPs3,100K,1,100000,5,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Favin_novor_m1-100k_1767044375785.png?alt=media&token=c0f7e80d-d1ba-4732-b925-cfb71e376040,2025-12-29T21:39:34.563Z
madagascaradam,jsmQkflCMzD3YcaH3QEt,500K,5,500000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_m5-500k_1767048767259.png?alt=media&token=4d2bb5a2-a890-426f-a7d1-4b898ca58fc2,2025-12-29T22:52:46.156Z
snoopys030,8RRxSenPFQiiuh1IMSD4,100K,1,100000,6,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsnoopys030_m1-100k_1767087880507.png?alt=media&token=b6cd6975-b8fd-4960-8d6f-1d110b98589b,2025-12-30T09:44:39.625Z
