username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
madagascaradam,lSd1uOc4rpV5odeuuXMP,3200k,5,3200000,1,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmadagascaradam_spent-3200k_1782917239473.png?alt=media&token=02a77a3b-3cd4-4a52-b3ae-55e114e9adbf,2026-07-01T14:47:17.900Z
mori2323,bZVtH5u3ErL8UZgxJuo5,750K,6,750000,24,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fmori2323_m6-750k_1783102181861.png?alt=media&token=d0a1b65c-1f1b-4eca-9959-ac5dd32301fe,2026-07-03T18:09:40.570Z
louis_of_apshai,8J50OVsCEWImMy3OrC2N,300K,3,300000,42,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Flouis_of_apshai_m3-300k_1783170106040.png?alt=media&token=ec04eea8-604f-439e-af3b-6c18d3217a6f,2026-07-04T13:01:44.850Z
ragnar175,mQAOwfC0WVaHPy2oGYcQ,750K,6,750000,25,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fragnar175_m6-750k_1783175923818.png?alt=media&token=ea10106c-db17-48a5-85f6-b4bd1da5804a,2026-07-04T14:38:42.021Z
puphik,MBnG9l0n8GTEsVkrnJf3,300K,3,300000,43,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fpuphik_m3-300k_1783270238562.png?alt=media&token=feb3a25e-11f4-4bbf-9a14-b898e773ce1b,2026-07-05T16:50:37.453Z
ikaliayev,YRk7gegOUS7zBIr5VhUt,200k,1,200000,39,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fikaliayev_spent-200k_1783383346644.png?alt=media&token=bed82edd-c2da-47cd-afec-334e4a15bdaa,2026-07-07T00:15:45.219Z
chestersz,ZRmNRNO7JXzXsipUv02k,500K,5,500000,32,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fchestersz_m5-500k_1783417955996.png?alt=media&token=b66d08a8-b25b-4068-9a64-1bd8d80aadb4,2026-07-07T09:52:34.504Z
alexwifi42,enMvu8S0F4ntcW5LX8XX,400K,4,400000,34,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falexwifi42_m4-400k_1783499310733.png?alt=media&token=57bb29fc-46f9-4c03-b7fa-1a6f9793f3c6,2026-07-08T08:28:29.310Z
louis_of_apshai,Noqvr83pTnJkh6J7re7D,200k,1,200000,40,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Flouis_of_apshai_spent-200k_1783520863207.png?alt=media&token=d72b6428-5c78-4004-ac85-c88518e0e954,2026-07-08T14:27:41.837Z
lovegamesandthings00000,uR8T4oPcTLvCjZEARF1Z,300K,3,300000,44,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Flovegamesandthings00000_m3-300k_1783521636196.png?alt=media&token=52b07567-9149-4f40-84f4-84e1aad836e4,2026-07-08T14:40:35.230Z
aswd002,VQuCmY3C6mgdds8L419Q,500K,5,500000,33,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Faswd002_m5-500k_1783563013551.png?alt=media&token=e634d374-7d3a-4d87-963e-5088f3ae073d,2026-07-09T02:10:12.368Z
louis_of_apshai,tMlo5zDoQkUCyg1itr9g,400K,4,400000,35,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Flouis_of_apshai_m4-400k_1783526385270.png?alt=media&token=fc7e722a-8f17-4f17-86d5-1f9bc485edae,2026-07-09T16:48:05.047Z
alexwifi42,K0rlzG1nZwLlnAv337Tf,400k,2,400000,28,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falexwifi42_spent-400k_1783722806233.png?alt=media&token=b0788635-add0-403e-b53e-79a3c26d3b89,2026-07-10T22:33:24.667Z
zoskycube,zwajIiE1pQ7Xq7D2XIUk,400K,4,400000,36,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fzoskycube_m4-400k_1783779431089.png?alt=media&token=73083c48-2f2c-4da8-967e-4c1561d785bb,2026-07-11T14:17:09.786Z
avin_novor,3dFXyZfgm3xNsaAnQMI5,1600k,4,1600000,3,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Favin_novor_spent-1600k_1783823280792.png?alt=media&token=58153456-1977-45aa-89b4-48a486558b58,2026-07-12T02:27:59.407Z
xiaoxiao9313,NVYWapo3OT0252c7rnqT,400K,4,400000,37,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fxiaoxiao9313_m4-400k_1783908613563.png?alt=media&token=5c5f2e0d-04c2-4fc5-8524-e3bfecfcf630,2026-07-13T02:10:12.627Z
alburldador,JhPhZUyyGcQa3bNtgm4i,1M,7,1000000,17,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falburldador_m7-1m_1783921104227.png?alt=media&token=cc05faec-f04e-4582-96b5-1857652885a7,2026-07-13T05:38:23.072Z
