username,badgeId,badgeName,badgeLevel,threshold,rank,filename,imageUrl,achievedAt
valase,FM8a0Q4NpUSoqLuEKEsR,2M,8,2000000,8,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fvalase_m8-2m_1788422583419.png?alt=media&token=69bb6189-ec75-47c2-bea5-bd35406fa33d,2026-09-03T08:03:01.834Z
silent_luc,iQgQfH2SdoOApzQ354pl,2M,8,2000000,9,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsilent_luc_m8-2m_1788450273487.png?alt=media&token=8d853913-bf10-4dc9-9148-fea6da3d3cf4,2026-09-03T15:44:32.130Z
lovegamesandthings00000,QWmbY4FLnU8Feg4n1XqU,500K,5,500000,40,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Flovegamesandthings00000_m5-500k_1788483286601.png?alt=media&token=6235c038-e833-4f58-80d6-d50590818852,2026-09-04T00:54:45.267Z
thanossoul,QbgwuF9eFqxCISsoWtvF,1600k,4,1600000,9,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fthanossoul_spent-1600k_1788489702638.png?alt=media&token=ac4d1119-1f44-4d10-8c80-55776f1f4c4f,2026-09-04T02:41:40.759Z
alexwifi42,97iIRYlhjNGv2yxfSqfj,750K,6,750000,28,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falexwifi42_m6-750k_1788518434543.png?alt=media&token=6f7281fc-8628-48e1-a42e-621c993b9226,2026-09-04T10:40:33.143Z
ikaliayev,XHfX0HbFLXW05484fclN,2M,8,2000000,10,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fikaliayev_m8-2m_1788711754457.png?alt=media&token=326f27e1-450b-4a29-aca6-1cd8b809fe74,2026-09-06T16:22:33.230Z
ragnar175,aJfoV6PcL3EYkVySe5HC,800k,3,800000,24,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fragnar175_spent-800k_1788758959022.png?alt=media&token=4644de99-53c2-4e4a-842a-72aa0b9b9e9d,2026-09-07T05:29:17.422Z
llucholba,JX0CWqSPrp2E7ZlIkH4n,750K,6,750000,29,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fllucholba_m6-750k_1788983295378.png?alt=media&token=860efaaa-7789-4faf-ba99-3a5364848800,2026-09-09T19:48:14.113Z
alyssrentori,dgxSmfroexOb4G3wxjXK,500K,5,500000,41,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Falyssrentori_m5-500k_1789166582916.png?alt=media&token=424a11ca-7206-4365-9361-d9ed1d93ca65,2026-09-11T22:43:01.488Z
silent_luc,712YnXntTKr6CdTS9nxL,1600k,4,1600000,10,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fsilent_luc_spent-1600k_1789206411473.png?alt=media&token=15502364-6726-4ab6-992a-385a1cad654d,2026-09-12T09:46:50.084Z
xiaoxiao9313,u4jrY1YOmD8XsrHMYGW4,1M,7,1000000,24,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fxiaoxiao9313_m7-1m_1789392366093.png?alt=media&token=673665f4-2d0a-4703-a2a1-8f0efbac9839,2026-09-14T13:26:04.437Z
lmbs00,8VOQrLXgak0YM6b00dA5,750K,6,750000,30,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Flmbs00_m6-750k_1789512977060.png?alt=media&token=f65a7d0f-71cd-45e6-bd17-795213b46238,2026-09-15T22:56:15.832Z
kurotaku1337,zcUdg5XjJ5DxWMb8T5af,500K,5,500000,42,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fkurotaku1337_m5-500k_1789630036566.png?alt=media&token=837ac9e8-c5c1-428f-bc94-814c2d1a4c22,2026-09-17T07:27:15.343Z
hopelessss_,gUDHAPDRhh7y9fIVT5r1,100K,1,100000,73,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fhopelessss__m1-100k_1789632850975.png?alt=media&token=3f29a710-f28d-4f97-b7e9-80f9b8855293,2026-09-17T08:14:09.775Z
johnnymnemonics,cbTvBOYAC1E1BAlNjxFE,200k,1,200000,45,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjohnnymnemonics_spent-200k_1789666545944.png?alt=media&token=1642339d-fd13-4856-8554-98e56ac94aa2,2026-09-17T17:35:43.668Z
johnnymnemonics,l5kvH0z5BDTcivpyezFj,400k,2,400000,34,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2Fjohnnymnemonics_spent-400k_1789666551761.png?alt=media&token=e0d41128-7f22-4dfa-9d1f-8581652e29a3,2026-09-17T17:35:44.164Z
4gazmin4,drPLnCUGe9Cp63buT8r9,400K,4,400000,45,,https://firebasestorage.googleapis.com/v0/b/zoskycube-bossbattle.firebasestorage.app/o/milestones%2Fgenerated%2F4gazmin4_m4-400k_1789727954492.png?alt=media&token=96b28a94-7b4c-4b6f-bab5-ec1e97f0b291,2026-09-18T10:39:13.160Z
